TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
16,29,88, ROMANIA,0.0,2.0,24,130, POLAND,1.0,2.0,0.0
16,26,43, HUNGARY,0.0,2.0,28,18, RUSSIA,0.0,2.0,1.0
16,22,367, HUNGARY,0.0,2.0,27,16, RUSSIA,0.0,2.0,1.0
8,24,9, ESTONIA,1.0,2.0,30,77, RUSSIA,0.0,2.0,0.0
8,28,142, HUNGARY,0.0,2.0,22,89, RUSSIA,1.0,2.0,0.0
8,28,18, RUSSIA,0.0,2.0,27,16, RUSSIA,0.0,2.0,0.0
4,24,9, ESTONIA,1.0,2.0,28,142, HUNGARY,0.0,2.0,0.0
4,29,88, ROMANIA,0.0,2.0,28,18, RUSSIA,0.0,2.0,1.0
2,24,9, ESTONIA,1.0,2.0,28,18, RUSSIA,0.0,2.0,0.0
32,23,337, SWITZERLAND,0.0,0.0,24,119, ITALY,0.0,0.0,1.0
32,22,318, CANADA,0.0,0.0,17,361, USA,0.0,0.0,0.0
32,28,363, AUSTRIA,0.0,0.0,22,148, USA,1.0,0.0,1.0
32,24,210, GREAT BRITAIN,0.0,0.0,16,372, ICELAND,0.0,0.0,0.0
32,32,334, IRELAND,0.0,0.0,26,326, IRELAND,0.0,0.0,1.0
32,37,335, GREAT BRITAIN,0.0,0.0,18,288, AUSTRIA,0.0,0.0,1.0
32,22,375, ICELAND,0.0,0.0,18,315, ICELAND,0.0,0.0,1.0
32,24,24, CANADA,0.0,0.0,26,379, ICELAND,0.0,0.0,0.0
32,19,346, PUERTO RICO,1.0,0.0,19,305, GREAT BRITAIN,0.0,0.0,1.0
32,22,324, CROATIA,0.0,0.0,22,341, GREAT BRITAIN,0.0,0.0,0.0
32,16,371, ICELAND,0.0,0.0,21,282, POLAND,0.0,0.0,1.0
32,23,200, POLAND,0.0,0.0,40,366, ISRAEL,0.0,0.0,0.0
32,30,358, GERMANY,0.0,0.0,29,78, VIRGIN ISLANDS,0.0,0.0,1.0
32,22,176, USA,0.0,0.0,23,306, AUSTRALIA,0.0,0.0,0.0
32,16,379, ICELAND,0.0,0.0,20,189, ITALY,0.0,0.0,1.0
16,21,53, ARGENTINA,0.0,0.0,24,119, ITALY,0.0,0.0,0.0
16,22,318, CANADA,0.0,0.0,22,148, USA,1.0,0.0,1.0
16,24,210, GREAT BRITAIN,0.0,0.0,26,326, IRELAND,0.0,0.0,0.0
16,18,288, AUSTRIA,0.0,0.0,18,315, ICELAND,0.0,0.0,0.0
16,24,24, CANADA,0.0,0.0,19,305, GREAT BRITAIN,0.0,0.0,0.0
16,22,324, CROATIA,0.0,0.0,21,282, POLAND,0.0,0.0,1.0
16,23,200, POLAND,0.0,0.0,29,78, VIRGIN ISLANDS,0.0,0.0,0.0
16,22,176, USA,0.0,0.0,20,189, ITALY,0.0,0.0,0.0
8,21,53, ARGENTINA,0.0,0.0,22,148, USA,1.0,0.0,0.0
8,24,210, GREAT BRITAIN,0.0,0.0,18,288, AUSTRIA,0.0,0.0,0.0
8,24,24, CANADA,0.0,0.0,21,282, POLAND,0.0,0.0,0.0
8,23,200, POLAND,0.0,0.0,22,176, USA,0.0,0.0,1.0
4,21,53, ARGENTINA,0.0,0.0,24,210, GREAT BRITAIN,0.0,0.0,0.0
4,24,24, CANADA,0.0,0.0,22,176, USA,0.0,0.0,0.0
2,21,53, ARGENTINA,0.0,0.0,24,24, CANADA,0.0,0.0,1.0
32,21,77, ITALY,0.0,1.0,18,338, PUERTO RICO,0.0,1.0,0.0
32,26,124, ITALY,0.0,1.0,17,373, ITALY,0.0,1.0,0.0
32,24,327, GREAT BRITAIN,0.0,1.0,18,312, HUNGARY,0.0,1.0,1.0
32,18,196, ITALY,1.0,1.0,24,275, SLOVAKIA,0.0,1.0,0.0
32,21,106, SLOVAKIA,0.0,1.0,20,179, SPAIN,0.0,1.0,0.0
32,24,349, LEBANON,1.0,1.0,22,193, GREAT BRITAIN,0.0,1.0,1.0
32,41,313, FINLAND,0.0,1.0,31,22, CANADA,0.0,1.0,1.0
32,34,97, ITALY,0.0,1.0,29,253, BELGIUM,0.0,1.0,0.0
32,27,265, AUSTRIA,0.0,1.0,20,264, ITALY,1.0,1.0,1.0
32,18,117, SINGAPORE,1.0,1.0,17,367, SLOVAKIA,0.0,1.0,0.0
32,18,341, ITALY,1.0,1.0,21,107, GREAT BRITAIN,0.0,1.0,0.0
32,30,150, ARGENTINA,1.0,1.0,17,390, HUNGARY,0.0,1.0,0.0
32,28,369, GREAT BRITAIN,0.0,1.0,23,210, GREAT BRITAIN,1.0,1.0,1.0
32,25,214, SPAIN,0.0,1.0,24,121, HUNGARY,1.0,1.0,1.0
32,23,345, IRELAND,0.0,1.0,26,53, AUSTRIA,0.0,1.0,1.0
16,26,124, ITALY,0.0,1.0,18,312, HUNGARY,0.0,1.0,0.0
16,18,196, ITALY,1.0,1.0,21,106, SLOVAKIA,0.0,1.0,0.0
16,22,193, GREAT BRITAIN,0.0,1.0,31,22, CANADA,0.0,1.0,1.0
16,34,97, ITALY,0.0,1.0,20,264, ITALY,1.0,1.0,0.0
16,18,117, SINGAPORE,1.0,1.0,18,341, ITALY,1.0,1.0,0.0
16,30,150, ARGENTINA,1.0,1.0,23,210, GREAT BRITAIN,1.0,1.0,0.0
16,24,121, HUNGARY,1.0,1.0,26,53, AUSTRIA,0.0,1.0,1.0
8,18,196, ITALY,1.0,1.0,31,22, CANADA,0.0,1.0,1.0
8,34,97, ITALY,0.0,1.0,18,117, SINGAPORE,1.0,1.0,1.0
8,30,150, ARGENTINA,1.0,1.0,26,53, AUSTRIA,0.0,1.0,1.0
4,26,124, ITALY,0.0,1.0,31,22, CANADA,0.0,1.0,1.0
4,18,117, SINGAPORE,1.0,1.0,26,53, AUSTRIA,0.0,1.0,0.0
2,31,22, CANADA,0.0,1.0,18,117, SINGAPORE,1.0,1.0,0.0
32,26,43, HUNGARY,0.0,2.0,21,436, FINLAND,0.0,2.0,0.0
32,26,218, FINLAND,0.0,2.0,22,321, ESTONIA,0.0,2.0,1.0
32,28,126, ESTONIA,0.0,2.0,23,193, AUSTRALIA,0.0,2.0,0.0
32,27,416, FINLAND,0.0,2.0,26,28, ESTONIA,0.0,2.0,1.0
32,24,9, ESTONIA,1.0,2.0,20,420, FINLAND,0.0,2.0,0.0
32,24,362, NORWAY,1.0,2.0,42,287, LATVIA,0.0,2.0,0.0
32,22,172, LITHUANIA,0.0,2.0,21,107, SWEDEN,0.0,2.0,1.0
32,19,399, SWEDEN,0.0,2.0,19,165, SWEDEN,1.0,2.0,1.0
32,33,25, ESTONIA,0.0,2.0,28,430, FINLAND,1.0,2.0,0.0
32,20,407, DENMARK,0.0,2.0,18,349, ESTONIA,0.0,2.0,1.0
32,42,384, FINLAND,0.0,2.0,25,250, LITHUANIA,0.0,2.0,1.0
32,22,274, FINLAND,0.0,2.0,30,375, SOUTH AFRICA,0.0,2.0,0.0
32,23,160, FINLAND,0.0,2.0,33,210, NORWAY,0.0,2.0,0.0
32,17,371, ESTONIA,0.0,2.0,22,209, PANAMA,0.0,2.0,0.0
32,17,354, ESTONIA,1.0,2.0,22,403, FINLAND,0.0,2.0,0.0
32,23,137, SWEDEN,0.0,2.0,38,68, ESTONIA,1.0,2.0,1.0
16,26,43, HUNGARY,0.0,2.0,22,321, ESTONIA,0.0,2.0,0.0
16,28,126, ESTONIA,0.0,2.0,26,28, ESTONIA,0.0,2.0,1.0
16,24,9, ESTONIA,1.0,2.0,24,362, NORWAY,1.0,2.0,0.0
16,21,107, SWEDEN,0.0,2.0,19,165, SWEDEN,1.0,2.0,0.0
16,33,25, ESTONIA,0.0,2.0,18,349, ESTONIA,0.0,2.0,0.0
16,25,250, LITHUANIA,0.0,2.0,22,274, FINLAND,0.0,2.0,1.0
16,23,160, FINLAND,0.0,2.0,17,371, ESTONIA,0.0,2.0,0.0
16,17,354, ESTONIA,1.0,2.0,38,68, ESTONIA,1.0,2.0,1.0
8,26,43, HUNGARY,0.0,2.0,26,28, ESTONIA,0.0,2.0,1.0
8,24,9, ESTONIA,1.0,2.0,21,107, SWEDEN,0.0,2.0,1.0
8,33,25, ESTONIA,0.0,2.0,22,274, FINLAND,0.0,2.0,0.0
8,23,160, FINLAND,0.0,2.0,38,68, ESTONIA,1.0,2.0,1.0
4,26,28, ESTONIA,0.0,2.0,21,107, SWEDEN,0.0,2.0,0.0
4,33,25, ESTONIA,0.0,2.0,38,68, ESTONIA,1.0,2.0,1.0
2,26,28, ESTONIA,0.0,2.0,38,68, ESTONIA,1.0,2.0,0.0
16,28,31, POLAND,0.0,0.0,25,302, CHINESE TAIPEI,0.0,0.0,0.0
16,23,285, GREAT BRITAIN,0.0,0.0,17,231, USA,0.0,0.0,1.0
16,29,24, SPAIN,0.0,0.0,20,260, GREAT BRITAIN,0.0,0.0,0.0
16,20,291, CANADA,0.0,0.0,22,259, VENEZUELA,0.0,0.0,1.0
16,24,135, GREAT BRITAIN,0.0,0.0,27,293, GREAT BRITAIN,0.0,0.0,0.0
16,22,286, GREAT BRITAIN,0.0,0.0,23,121, USA,0.0,0.0,1.0
16,22,230, GREAT BRITAIN,0.0,0.0,25,60, INDIA,0.0,0.0,1.0
16,20,297, GREAT BRITAIN,0.0,0.0,31,100, CANADA,0.0,0.0,1.0
8,28,31, POLAND,0.0,0.0,17,231, USA,0.0,0.0,0.0
8,29,24, SPAIN,0.0,0.0,22,259, VENEZUELA,0.0,0.0,0.0
8,24,135, GREAT BRITAIN,0.0,0.0,23,121, USA,0.0,0.0,1.0
8,25,60, INDIA,0.0,0.0,31,100, CANADA,0.0,0.0,0.0
4,28,31, POLAND,0.0,0.0,29,24, SPAIN,0.0,0.0,0.0
4,23,121, USA,0.0,0.0,25,60, INDIA,0.0,0.0,0.0
2,28,31, POLAND,0.0,0.0,23,121, USA,0.0,0.0,1.0
32,21,118, AUSTRIA,1.0,2.0,19,557, FINLAND,0.0,2.0,0.0
32,16,535, FINLAND,0.0,2.0,26,477, SWEDEN,1.0,2.0,1.0
32,54,510, SWEDEN,0.0,2.0,17,475, FINLAND,1.0,2.0,1.0
32,23,365, TURKEY,0.0,2.0,19,514, FINLAND,1.0,2.0,0.0
32,19,588, FINLAND,0.0,2.0,20,303, ESTONIA,1.0,2.0,1.0
32,21,490, DENMARK,0.0,2.0,20,491, LITHUANIA,0.0,2.0,1.0
