,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
112,2019-393,8,Kata-MIHALY-19595,28,142, HUNGARY,0.0,2.0,Alena-KOMAROVA-26764,22,89, RUSSIA,1.0,2.0, V/15,  D/13
113,2019-393,8,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA,0.0,2.0,Violetta-KOLOBOVA-18949,27,16, RUSSIA,0.0,2.0, V/15,  D/12
114,2019-393,4,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Kata-MIHALY-19595,28,142, HUNGARY,0.0,2.0, V/15,  D/8
115,2019-393,4,Raluca_Cristina-SBARCIA-17455,29,88, ROMANIA,0.0,2.0,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA,0.0,2.0, D/10,  V/15
116,2019-393,2,Katrina-LEHIS-24108,24,9, ESTONIA,1.0,2.0,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA,0.0,2.0, V/15,  D/5
117,2019-186,32,David-NOTZON-34880,23,337, SWITZERLAND,0.0,0.0,Francesco-DARMIENTO-24278,24,119, ITALY,0.0,0.0, D/9,  V/15
118,2019-186,32,Philip-PITURA-31841,22,318, CANADA,0.0,0.0,Braden-VACCARI-47350,17,361, USA,0.0,0.0, V/15,  D/3
119,2019-186,32,Max-REIMER-16785,28,363, AUSTRIA,0.0,0.0,Grant-WILLIAMS-34354,22,148, USA,1.0,0.0, D/9,  V/15
120,2019-186,32,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN,0.0,0.0,Franklin_Ernir-KRISTJANSSON-41555,16,372, ICELAND,0.0,0.0, V/15,  D/13
121,2019-186,32,Michalis-KIRIMLIDIS-37461,32,334, IRELAND,0.0,0.0,Michael-JACOB-41413,26,326, IRELAND,0.0,0.0, D/10,  V/15
122,2019-186,32,Amir-RAHIMI-27146,37,335, GREAT BRITAIN,0.0,0.0,Nicolaus-BENEDICT-39013,18,288, AUSTRIA,0.0,0.0, D/14,  V/15
123,2019-186,32,Emil_Isleifur-SUMARLIDASON-29386,22,375, ICELAND,0.0,0.0,Andri_Nikolaysson-MATEEV-34580,18,315, ICELAND,0.0,0.0, D/9,  V/15
