,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
2058,Evgenia-PODPASKOVA-37872,20,220, RUSSIA, Right, Sabre 
2059,Evgeniy-KOLESOV-31490,30,9999999, RUSSIA, Right, Epée 
2060,Evgeniy-KONOVALOV-26331,29,529, UZBEKISTAN, Right, Sabre 
2061,Evgeniy-LOMTEV-36157,22,729, RUSSIA, Right, Foil 
2063,Evgeniy-ZUMENTS-39557,33,9999999, LATVIA, Left, Sabre 
2064,Evgeniya-ZHARKOVA-43719,18,9999999, RUSSIA, Right, Epée 
2066,Evgeny-BOZHENKO-41691,55,9999999, CANADA, Right, Foil 
2067,Ewa-BIELCZYK_MACZYNSKA-35328,31,9999999, POLAND, Right, Sabre 
2068,Ewa-BOROWA-38799,53,9999999, ITALY, Right, Epée 
2069,Ewa-NELIP-9835,29,19, POLAND, Right, Epée 
2070,Ewa-Nelip-9835,29,19, POLAND, Right, Epée 
2071,Ezgi-TURHAL-35042,20,9999999, TURKEY, Right, Sabre 
2072,FERRARI-Marta-15411,29,54, ITALY, Right, Epée 
2073,FOIETTA-Nicol-28629,23,82, ITALY, Right, Epée 
2074,FOTOUHI-Mohammad-18673,28,128, IRAN, Right, Sabre 
2075,FUKUSHIMA-Shihomi-35881,23,35, JAPAN, Right, Sabre 
2076,FaaIq-GAMIELDIEN-34718,20,9999999, SOUTH AFRICA, Right, Foil 
2077,Fabian-ALFHEIM-40421,19,547, NORWAY, Right, Epée 
2078,Fabian-BRAUN-33898,21,267, GERMANY, Right, Foil 
2079,Fabian-BROGER-38922,21,418, SWITZERLAND, Right, Epée 
2080,Fabian-HERBST-27202,23,9999999, AUSTRIA, Right, Sabre 
2081,Fabian-HUAPAYA-41473,20,168, PERU, Right, Sabre 
2082,Fabian-KAUTER-6022,33,225, SWITZERLAND, Right, Epée 
2083,Fabian_Andres-PARRA__COLLAZOS-22964,25,593, COLOMBIA, Right, Foil 
2084,Fabiana-BONITO-23754,24,549, PORTUGAL, Right, Epée 
2085,Fabiangela-RUIDO-30788,22,259, VENEZUELA, Right, Sabre 
2086,Fabiano-LUNARDI-26938,34,9999999, BRAZIL, Right, Epée 
2087,Fabien-BALLORCA-25515,25,74, FRANCE, Right, Sabre 
2088,Fabienne-BROUSSE_BRUNEL-41676,53,9999999, FRANCE, Left, Epée 
2089,Fabio-BARBARA-37073,23,9999999, ITALY, Left, Epée 
2090,Fabio-MIRALDI-33463,56,9999999, ITALY, Right, Foil 
2091,Fabio-SERPERO-9378,32,9999999, ITALY, Right, Epée 
2092,Fabrizia-ALESSANDRINI-41931,54,9999999, ITALY, Right, Epée 
2094,Fabrizio-CITRO-26073,26,9999999, ITALY, Left, Epée 
2095,Fabrizio-FILIPPI-8930,72,9999999, ITALY, Right, Sabre 
2096,Fabrizio-FLOREANI-28429,27,9999999, ITALY, Right, Epée 
2097,Fabrizio-LAZAROTO-34744,19,249, BRAZIL, Right, Epée 
2098,Fabrizio-MARINO-18739,28,294, ITALY, Right, Sabre 
2099,Fabrizio_Maria-SCISCIOLO-40013,19,565, ITALY, Right, Sabre 
2100,Fach_Ga%C3%ABl-DIAMONEKA-35524,29,9999999, CONGO, Right, Epée 
2101,Faezeh-RAFIEI-29039,26,122, IRAN, Right, Sabre 
2102,Faisal-ABED-34975,20,9999999, SAUDI ARABIA, Right, Epée 
2103,Faizah-MUHAMMAD-27554,27,9999999, USA, Left, Sabre 
2104,Falan-KENNEDY-33789,21,553, CANADA, Right, Sabre 
2105,Falk-SPAUTZ-15738,28,861, GERMANY, Right, Epée 
2106,Fan-WANG-35960,54,9999999, CHINA, Right, Foil 
2107,Fangqin-HOU-33131,26,9999999, CHINA, Right, Epée 
2108,Fani-VARVERI-20708,32,570, GREECE, Right, Epée 
2109,Fanni-POTZ_NAGY-42088,17,9999999, HUNGARY, Right, Sabre 
2110,Fanny-DEPANIAN-32175,21,9999999, FRANCE, Right, Epée 
2111,Fanny-DUHAMEL-14827,29,9999999, CANADA, Right, Sabre 
2112,Fanny-KREISS-9426,29,26, HUNGARY, Right, Foil 
2113,Fares-ARFA-26064,24,90, CANADA, Right, Sabre 
2114,Fares-FERJANI-32326,21,15, TUNISIA, Right, Sabre 
2115,Fares-ZIDI-29209,21,9999999, TUNISIA, Right, Foil 
2116,Fares_Fajaa-ALSHAMMARI-35291,20,9999999, KUWAIT, Right, Epée 
2117,Farhad-KASSIMOV-41942,54,9999999, AZERBAIJAN, Right, Sabre 
2118,Farhad-RIAHI-35852,46,552, GREAT BRITAIN, Left, Epée 
2119,Farnaz-SAFAVIZADEH-34984,22,9999999, IRAN, Right, Sabre 
2120,Farrah-LEE_ELABD-35643,20,9999999, USA, Right, Epée 
