,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
5747,Sergey-NAUMOV-31150,23,9999999, RUSSIA, Right, Epée 
5748,Sergey-SIMOVSKIKH-38881,53,9999999, RUSSIA, Right, Epée 
5751,Sergio-MANZONI-43261,19,9999999, ITALY, Right, Epée 
5753,Sergio-TRIVELLI-30404,22,9999999, ITALY, Right, Epée 
5759,Seung_Gu-KIM-10918,37,179, KOREA, Right, Epée 
5760,Seung_Hwa-JUNG-4963,37,9999999, KOREA, Right, Epée 
5763,Seunghwa-JUNG-4963,37,9999999, KOREA, Right, Epée 
5764,Seunghyun-LEE-40535,21,9999999, KOREA, Right, Epée 
5768,Sevara-RAKHIMOVA-43309,15,9999999, UZBEKISTAN, Left, Epée 
5769,Sevara-SUYUNDIKOVA-34993,20,813, UZBEKISTAN, Right, Epée 
5770,Severin-DE_SEPIBUS-5956,35,364, SWITZERLAND, Right, Epée 
5774,Seweryn-BRZOZOWSKI-25944,26,409, POLAND, Right, Epée 
5775,Seyun-JEONG-42536,20,9999999, KOREA, Right, Epée 
5779,Shahar-BERKOVITCH-38961,19,9999999, ISRAEL, Right, Epée 
5782,Shane-WHELAN-24224,54,9999999, IRELAND, Right, Epée 
5784,Shantal-ZHANSUGUROVA-42560,17,534, KAZAKHSTAN, Right, Epée 
5785,Shara-RITONDALE-37036,18,9999999, VENEZUELA, Right, Epée 
5789,Shawn-WALLACE-30494,23,9999999, USA, Right, Epée 
5791,Sheila_Liliana-TEJEDA-33079,22,687, MEXICO, Right, Epée 
5793,Sheng-LIN-26695,25,21, CHINA, Left, Epée 
5794,Sheng_Chi-HUANG-34699,22,9999999, CHINESE TAIPEI, Right, Epée 
5795,Sheng_Wen-WU-31136,43,9999999, CHINESE TAIPEI, Right, Epée 
5796,Sherif-FAYEZ-28468,23,9999999, EGYPT, Right, Epée 
5797,Sherjin-RAJENDRAN_SHANTHIMOL-40368,16,9999999, INDIA, Right, Epée 
5807,Shinkai-KAWAKITA-32526,21,9999999, JAPAN, Right, Epée 
5808,Shiori-KOMATA-20483,23,65, JAPAN, Right, Epée 
5809,Shira-ZLUF-34768,18,9999999, ISRAEL, Right, Epée 
5810,Shirin-VOLLRATH-30294,24,495, GERMANY, Right, Epée 
5811,Shirley-WANG-36816,18,9999999, CANADA, Right, Epée 
5812,Shirwit-GABER-34915,20,9999999, EGYPT, Right, Epée 
5813,Shiu_Chung-LAW-37732,20,885, HONG KONG, Right, Epée 
5820,Shun_Him_Himson-YAU-28841,24,345, HONG KONG, Right, Epée 
5831,Sihan-YU-38075,17,9999999, CHINA, Right, Epée 
5835,Silvena-HRISTOVA-48041,17,405, BULGARIA, Right, Epée 
5839,Silvio-FERNANDEZ-10139,40,854, VENEZUELA, Right, Epée 
5842,Simon-CONTREPOIS-45286,19,975, FRANCE, Left, Epée 
5845,Simon-JOKINEN-29666,23,9999999, SWEDEN, Right, Epée 
5846,Simon-LAPIN-33817,21,9999999, BELGIUM, Left, Epée 
