CompetitionID, Tableu, Competitor1, Competitor2, ResultCompetitor1, ResultCompetitor2
2019-393, 32, /fencers/Lis-ROTTLER_FAUTSCH-9667/, /fencers/Olga-LUKIANOVA-17600/, D/12, V/15
2019-393, 32, /fencers/Kata-MIHALY-19595/, /fencers/Reka-SZABO-26222/, V/15, D/14
2019-393, 32, /fencers/Nelli-LADANYI-34497/, /fencers/Kristina-YASINSKAYA-33673/, V/15, D/14
2019-393, 32, /fencers/Alena-KOMAROVA-26764/, /fencers/Sophia-WEITBRECHT-32172/, V/15, D/12
2019-393, 32, /fencers/Inna-BROVKO-29945/, /fencers/Bianca-BENEA-32982/, D/2, V/6
2019-393, 32, /fencers/Daria-MARTYNYUK-29815/, /fencers/Malinka-HOPPE_MONTANARO-20246/, D/12, V/15
2019-393, 32, /fencers/Anastasia-KORNEEVA-31148/, /fencers/Vanessa-RIEDMUELLER-32168/, D/12, V/15
2019-393, 32, /fencers/Raluca_Cristina-SBARCIA-17455/, /fencers/Lyubov-SHUTOVA-5839/, V/15, D/14
2019-393, 32, /fencers/Irina-OKHOTNIKOVA-35103/, /fencers/Kamila-PYTKA-25928/, D/12, V/13
2019-393, 32, /fencers/Valeria-CSONKA-38783/, /fencers/Dorina-BUDAI-19630/, D/8, V/15
2019-393, 32, /fencers/Tatyana-ANDRYUSHINA-18610/, /fencers/Anna-KUN-31836/, V/15, D/14
2019-393, 32, /fencers/Julia-MORAWIETZ-25012/, /fencers/Sarolta-OHLMULLER-30101/, D/11, V/15
2019-393, 32, /fencers/Violetta-KOLOBOVA-18949/, /fencers/Ginevra-ROATO-32442/, V/15, D/3
2019-393, 16, /fencers/Katrina-LEHIS-24108/, /fencers/Eszter-MUHARI-42192/, V/15, D/7
2019-393, 16, /fencers/Kristina-KUUSK-2611/, /fencers/Olga-LUKIANOVA-17600/, D/8, V/15
2019-393, 16, /fencers/Kata-MIHALY-19595/, /fencers/Nelli-LADANYI-34497/, V/15, D/3
2019-393, 16, /fencers/Alena-KOMAROVA-26764/, /fencers/Bianca-BENEA-32982/, V/15, D/11
2019-393, 16, /fencers/Malinka-HOPPE_MONTANARO-20246/, /fencers/Vanessa-RIEDMUELLER-32168/, V/15, D/14
2019-393, 16, /fencers/Raluca_Cristina-SBARCIA-17455/, /fencers/Kamila-PYTKA-25928/, V/15, D/14
2019-393, 16, /fencers/Dorina-BUDAI-19630/, /fencers/Tatyana-ANDRYUSHINA-18610/, D/7, V/15
2019-393, 16, /fencers/Sarolta-OHLMULLER-30101/, /fencers/Violetta-KOLOBOVA-18949/, D/12, V/15
2019-393, 8, /fencers/Katrina-LEHIS-24108/, /fencers/Olga-LUKIANOVA-17600/, V/15, D/11
2019-393, 8, /fencers/Kata-MIHALY-19595/, /fencers/Alena-KOMAROVA-26764/, V/15, D/13
2019-393, 8, /fencers/Malinka-HOPPE_MONTANARO-20246/, /fencers/Raluca_Cristina-SBARCIA-17455/, D/6, V/15
2019-393, 8, /fencers/Tatyana-ANDRYUSHINA-18610/, /fencers/Violetta-KOLOBOVA-18949/, V/15, D/12
2019-393, 4, /fencers/Katrina-LEHIS-24108/, /fencers/Kata-MIHALY-19595/, V/15, D/8
2019-393, 4, /fencers/Raluca_Cristina-SBARCIA-17455/, /fencers/Tatyana-ANDRYUSHINA-18610/, D/10, V/15
2019-393, 2, /fencers/Katrina-LEHIS-24108/, /fencers/Tatyana-ANDRYUSHINA-18610/, V/15, D/5
2019-1356, 32, /fencers/Claudia-BORELLA-32248/, /fencers/Gabriela_Del_C_-PADUA-34667/, V/15, D/10
2019-1356, 32, /fencers/Maria_Teresa-DIAZ-34259/, /fencers/Laeticia-JORGENSEN-32575/, D/10, V/15
2019-1356, 32, /fencers/Olga_Rachele-CALISSI-22043/, /fencers/Giorgia-SPAZZI-48407/, V/15, D/1
2019-1356, 32, /fencers/Chiara-MCDERMOTT-30534/, /fencers/Nora-HAJAS-37537/, D/5, V/15
2019-1356, 32, /fencers/Marta-RICCI-43042/, /fencers/Michala-CELLEROVA-20593/, V/15, D/13
2019-1356, 32, /fencers/Kitti-BITTEROVA-29852/, /fencers/Andrea-BRETEAU-32393/, V/15, D/7
2019-1356, 32, /fencers/Mona-SHAITO-22165/, /fencers/Katie-SMITH-30326/, D/14, V/15
2019-1356, 32, /fencers/Irene-ENRIGHT-28068/, /fencers/Kelleigh-RYAN-9309/, D/4, V/15
2019-1356, 32, /fencers/Marta-CAMMILLETTI-4405/, /fencers/Delphine-GROSLAMBERT-12187/, V/15, D/9
2019-1356, 32, /fencers/Kim-WEISS-15803/, /fencers/Elena-TANGHERLINI-33865/, D/7, V/15
2019-1356, 32, /fencers/Amita-BERTHIER-33614/, /fencers/Veronika-KRALIKOVA-36953/, V/15, D/7
2019-1356, 32, /fencers/Elena-CRAIGHERO-45943/, /fencers/Kate-BEARDMORE-31645/, V/15, D/14
2019-1356, 32, /fencers/Maria_Ludmila-TERNI-23037/, /fencers/Virag-KALOCSAI-42986/, V/15, D/8
2019-1356, 32, /fencers/Philippa-MULLINS-17406/, /fencers/Chloe-DICKSON-28025/, D/4, V/12
2019-1356, 32, /fencers/Barbara-OJEDA-26919/, /fencers/Szonja-SZALAI-24399/, D/14, V/15
2019-1356, 32, /fencers/Victoria-DUXBURY-30222/, /fencers/Olivia-WOHLGEMUTH-18774/, D/6, V/15
2019-1356, 16, /fencers/Claudia-BORELLA-32248/, /fencers/Laeticia-JORGENSEN-32575/, D/11, V/12
2019-1356, 16, /fencers/Olga_Rachele-CALISSI-22043/, /fencers/Nora-HAJAS-37537/, V/15, D/7
2019-1356, 16, /fencers/Marta-RICCI-43042/, /fencers/Kitti-BITTEROVA-29852/, V/15, D/9
2019-1356, 16, /fencers/Katie-SMITH-30326/, /fencers/Kelleigh-RYAN-9309/, D/6, V/15
2019-1356, 16, /fencers/Marta-CAMMILLETTI-4405/, /fencers/Elena-TANGHERLINI-33865/, V/15, D/14
2019-1356, 16, /fencers/Amita-BERTHIER-33614/, /fencers/Elena-CRAIGHERO-45943/, V/15, D/6
2019-1356, 16, /fencers/Maria_Ludmila-TERNI-23037/, /fencers/Chloe-DICKSON-28025/, V/14, D/13
2019-1356, 16, /fencers/Szonja-SZALAI-24399/, /fencers/Olivia-WOHLGEMUTH-18774/, D/10, V/11
2019-1356, 8, /fencers/Laeticia-JORGENSEN-32575/, /fencers/Olga_Rachele-CALISSI-22043/, D/1, V/15
2019-1356, 8, /fencers/Marta-RICCI-43042/, /fencers/Kelleigh-RYAN-9309/, D/10, V/15
2019-1356, 8, /fencers/Marta-CAMMILLETTI-4405/, /fencers/Amita-BERTHIER-33614/, D/5, V/15
2019-1356, 8, /fencers/Maria_Ludmila-TERNI-23037/, /fencers/Olivia-WOHLGEMUTH-18774/, D/10, V/11
2019-1356, 4, /fencers/Olga_Rachele-CALISSI-22043/, /fencers/Kelleigh-RYAN-9309/, D/11, V/14
2019-1356, 4, /fencers/Amita-BERTHIER-33614/, /fencers/Olivia-WOHLGEMUTH-18774/, V/15, D/12
2019-1356, 2, /fencers/Kelleigh-RYAN-9309/, /fencers/Amita-BERTHIER-33614/, V/15, D/9
2019-186, 32, /fencers/Stefano_Ivan-LUCCHETTI-29223/, , , 
2019-186, 32, /fencers/David-NOTZON-34880/, /fencers/Francesco-DARMIENTO-24278/, D/9, V/15
2019-186, 32, /fencers/Philip-PITURA-31841/, /fencers/Braden-VACCARI-47350/, V/15, D/3
2019-186, 32, /fencers/Max-REIMER-16785/, /fencers/Grant-WILLIAMS-34354/, D/9, V/15
2019-186, 32, /fencers/Brynmor-SAUNDERS-31317/, /fencers/Franklin_Ernir-KRISTJANSSON-41555/, V/15, D/13
2019-186, 32, /fencers/Michalis-KIRIMLIDIS-37461/, /fencers/Michael-JACOB-41413/, D/10, V/15
2019-186, 32, /fencers/Amir-RAHIMI-27146/, /fencers/Nicolaus-BENEDICT-39013/, D/14, V/15
2019-186, 32, /fencers/Emil_Isleifur-SUMARLIDASON-29386/, /fencers/Andri_Nikolaysson-MATEEV-34580/, D/9, V/15
2019-186, 32, /fencers/Shaul-GORDON-25917/, /fencers/Gunnar_Egill-AGUSTSSON-21217/, V/15, D/6
2019-186, 32, /fencers/Andrew-RICHARDSON-45984/, /fencers/Zachary-HAMILTON-40727/, D/9, V/15
2019-186, 32, /fencers/Josip-BRAJDIC-32600/, /fencers/Charles-GELLETT-42112/, V/15, D/14
2019-186, 32, /fencers/Kjartan_Oli-AGUSTSSON-41557/, /fencers/Mateusz-KNEZ-33850/, D/9, V/15
2019-186, 32, /fencers/Jakub-JASKOT-30035/, /fencers/Konstantin-BONFELD-40398/, V/15, D/3
2019-186, 32, /fencers/Magnus-DE_WITT-45731/, /fencers/Teddy-WELLER-15297/, D/9, V/15
2019-186, 32, /fencers/Jonah-SHAINBERG-30258/, /fencers/Jadryn-DICK-32713/, V/15, D/9
2019-186, 32, /fencers/Hilmar-HEIDDAL-41556/, /fencers/Alberto-ARPINO-35850/, D/4, V/15
2019-186, 16, /fencers/Stefano_Ivan-LUCCHETTI-29223/, /fencers/Francesco-DARMIENTO-24278/, V/15, D/7
2019-186, 16, /fencers/Philip-PITURA-31841/, /fencers/Grant-WILLIAMS-34354/, D/14, V/15
2019-186, 16, /fencers/Brynmor-SAUNDERS-31317/, /fencers/Michael-JACOB-41413/, V/15, D/6
2019-186, 16, /fencers/Nicolaus-BENEDICT-39013/, /fencers/Andri_Nikolaysson-MATEEV-34580/, V/15, D/13
2019-186, 16, /fencers/Shaul-GORDON-25917/, /fencers/Zachary-HAMILTON-40727/, V/15, D/5
2019-186, 16, /fencers/Josip-BRAJDIC-32600/, /fencers/Mateusz-KNEZ-33850/, D/9, V/15
2019-186, 16, /fencers/Jakub-JASKOT-30035/, /fencers/Teddy-WELLER-15297/, V/15, D/6
2019-186, 16, /fencers/Jonah-SHAINBERG-30258/, /fencers/Alberto-ARPINO-35850/, V/15, D/10
2019-186, 8, /fencers/Stefano_Ivan-LUCCHETTI-29223/, /fencers/Grant-WILLIAMS-34354/, V/15, D/9
2019-186, 8, /fencers/Brynmor-SAUNDERS-31317/, /fencers/Nicolaus-BENEDICT-39013/, V/15, D/7
2019-186, 8, /fencers/Shaul-GORDON-25917/, /fencers/Mateusz-KNEZ-33850/, V/15, D/11
2019-186, 8, /fencers/Jakub-JASKOT-30035/, /fencers/Jonah-SHAINBERG-30258/, D/11, V/15
