,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2,WINNER
154,2019-1356,32,Marta-CAMMILLETTI-4405,34,97, ITALY, Right, Foil ,Delphine-GROSLAMBERT-12187,29,253, BELGIUM, Right, Foil , V/15,  D/9,0
155,2019-1356,32,Kim-WEISS-15803,27,265, AUSTRIA, Right, Foil ,Elena-TANGHERLINI-33865,20,264, ITALY, Left, Foil , D/7,  V/15,1
156,2019-1356,32,Amita-BERTHIER-33614,18,117, SINGAPORE, Left, Foil ,Veronika-KRALIKOVA-36953,17,367, SLOVAKIA, Right, Foil , V/15,  D/7,0
157,2019-1356,32,Elena-CRAIGHERO-45943,18,341, ITALY, Left, Foil ,Kate-BEARDMORE-31645,21,107, GREAT BRITAIN, Right, Foil , V/15,  D/14,0
158,2019-1356,32,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA, Left, Foil ,Virag-KALOCSAI-42986,17,390, HUNGARY, Right, Foil , V/15,  D/8,0
159,2019-1356,32,Philippa-MULLINS-17406,28,369, GREAT BRITAIN, Right, Foil ,Chloe-DICKSON-28025,23,210, GREAT BRITAIN, Left, Foil , D/4,  V/12,1
160,2019-1356,32,Barbara-OJEDA-26919,25,214, SPAIN, Right, Foil ,Szonja-SZALAI-24399,24,121, HUNGARY, Left, Foil , D/14,  V/15,1
161,2019-1356,32,Victoria-DUXBURY-30222,23,345, IRELAND, Right, Foil ,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA, Right, Foil , D/6,  V/15,1
162,2019-1356,16,Olga_Rachele-CALISSI-22043,26,124, ITALY, Right, Foil ,Nora-HAJAS-37537,18,312, HUNGARY, Right, Foil , V/15,  D/7,0
163,2019-1356,16,Marta-RICCI-43042,18,196, ITALY, Left, Foil ,Kitti-BITTEROVA-29852,21,106, SLOVAKIA, Right, Foil , V/15,  D/9,0
164,2019-1356,16,Katie-SMITH-30326,22,193, GREAT BRITAIN, Right, Foil ,Kelleigh-RYAN-9309,31,22, CANADA, Right, Foil , D/6,  V/15,1
165,2019-1356,16,Marta-CAMMILLETTI-4405,34,97, ITALY, Right, Foil ,Elena-TANGHERLINI-33865,20,264, ITALY, Left, Foil , V/15,  D/14,0
166,2019-1356,16,Amita-BERTHIER-33614,18,117, SINGAPORE, Left, Foil ,Elena-CRAIGHERO-45943,18,341, ITALY, Left, Foil , V/15,  D/6,0
167,2019-1356,16,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA, Left, Foil ,Chloe-DICKSON-28025,23,210, GREAT BRITAIN, Left, Foil , V/14,  D/13,0
168,2019-1356,16,Szonja-SZALAI-24399,24,121, HUNGARY, Left, Foil ,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA, Right, Foil , D/10,  V/11,1
169,2019-1356,8,Marta-RICCI-43042,18,196, ITALY, Left, Foil ,Kelleigh-RYAN-9309,31,22, CANADA, Right, Foil , D/10,  V/15,1
170,2019-1356,8,Marta-CAMMILLETTI-4405,34,97, ITALY, Right, Foil ,Amita-BERTHIER-33614,18,117, SINGAPORE, Left, Foil , D/5,  V/15,1
171,2019-1356,8,Maria_Ludmila-TERNI-23037,30,150, ARGENTINA, Left, Foil ,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA, Right, Foil , D/10,  V/11,1
172,2019-1356,4,Olga_Rachele-CALISSI-22043,26,124, ITALY, Right, Foil ,Kelleigh-RYAN-9309,31,22, CANADA, Right, Foil , D/11,  V/14,1
173,2019-1356,4,Amita-BERTHIER-33614,18,117, SINGAPORE, Left, Foil ,Olivia-WOHLGEMUTH-18774,26,53, AUSTRIA, Right, Foil , V/15,  D/12,0
174,2019-1356,2,Kelleigh-RYAN-9309,31,22, CANADA, Right, Foil ,Amita-BERTHIER-33614,18,117, SINGAPORE, Left, Foil , V/15,  D/9,0
175,2019-553,32,Dorina-BUDAI-19630,26,43, HUNGARY, Right, Epée ,Maija-TERHO-34317,21,436, FINLAND, Right, Epée , V/15,  D/5,0
176,2019-553,32,Michaela-KOCK-19869,26,218, FINLAND, Right, Epée ,Madina-AZIZOVA-32545,22,321, ESTONIA, Right, Epée , D/13,  V/15,1
177,2019-553,32,Nelli-DIFFERT-19933,28,126, ESTONIA, Right, Epée ,Anne-DEVEREAUX-28539,23,193, AUSTRALIA, Right, Epée , V/15,  D/9,0
