TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
4,21,53, ARGENTINA, Right, Sabre ,24,210, GREAT BRITAIN, Right, Sabre ,0
4,24,24, CANADA, Right, Sabre ,22,176, USA, Right, Sabre ,0
2,21,53, ARGENTINA, Right, Sabre ,24,24, CANADA, Right, Sabre ,1
32,21,77, ITALY, Right, Foil ,18,338, PUERTO RICO, Right, Foil ,0
32,26,124, ITALY, Right, Foil ,17,373, ITALY, Right, Foil ,0
32,24,327, GREAT BRITAIN, Right, Foil ,18,312, HUNGARY, Right, Foil ,1
32,18,196, ITALY, Left, Foil ,24,275, SLOVAKIA, Right, Foil ,0
32,21,106, SLOVAKIA, Right, Foil ,20,179, SPAIN, Right, Foil ,0
32,24,349, LEBANON, Left, Foil ,22,193, GREAT BRITAIN, Right, Foil ,1
32,41,313, FINLAND, Right, Foil ,31,22, CANADA, Right, Foil ,1
32,34,97, ITALY, Right, Foil ,29,253, BELGIUM, Right, Foil ,0
32,27,265, AUSTRIA, Right, Foil ,20,264, ITALY, Left, Foil ,1
32,18,117, SINGAPORE, Left, Foil ,17,367, SLOVAKIA, Right, Foil ,0
32,18,341, ITALY, Left, Foil ,21,107, GREAT BRITAIN, Right, Foil ,0
32,30,150, ARGENTINA, Left, Foil ,17,390, HUNGARY, Right, Foil ,0
32,28,369, GREAT BRITAIN, Right, Foil ,23,210, GREAT BRITAIN, Left, Foil ,1
32,25,214, SPAIN, Right, Foil ,24,121, HUNGARY, Left, Foil ,1
32,23,345, IRELAND, Right, Foil ,26,53, AUSTRIA, Right, Foil ,1
16,26,124, ITALY, Right, Foil ,18,312, HUNGARY, Right, Foil ,0
16,18,196, ITALY, Left, Foil ,21,106, SLOVAKIA, Right, Foil ,0
16,22,193, GREAT BRITAIN, Right, Foil ,31,22, CANADA, Right, Foil ,1
16,34,97, ITALY, Right, Foil ,20,264, ITALY, Left, Foil ,0
16,18,117, SINGAPORE, Left, Foil ,18,341, ITALY, Left, Foil ,0
16,30,150, ARGENTINA, Left, Foil ,23,210, GREAT BRITAIN, Left, Foil ,0
16,24,121, HUNGARY, Left, Foil ,26,53, AUSTRIA, Right, Foil ,1
8,18,196, ITALY, Left, Foil ,31,22, CANADA, Right, Foil ,1
8,34,97, ITALY, Right, Foil ,18,117, SINGAPORE, Left, Foil ,1
8,30,150, ARGENTINA, Left, Foil ,26,53, AUSTRIA, Right, Foil ,1
4,26,124, ITALY, Right, Foil ,31,22, CANADA, Right, Foil ,1
4,18,117, SINGAPORE, Left, Foil ,26,53, AUSTRIA, Right, Foil ,0
2,31,22, CANADA, Right, Foil ,18,117, SINGAPORE, Left, Foil ,0
32,26,43, HUNGARY, Right, Epée ,21,436, FINLAND, Right, Epée ,0
