,,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON
76,2019-1330,16,Gabor-BELLOVICZ-35180,20, 385, HUNGARY, Right, Foil ,Lorenzo-NISTA-21729,25, 63, ITALY, Right, Foil , D/11
77,2019-1330,16,Dominic-DE_ALMEIDA-36836,19, 292, GREAT BRITAIN, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20, 107, BELGIUM, Left, Foil , D/11
78,2019-1330,16,Filippo-GUERRA-24155,25, 191, ITALY, Right, Foil ,Husayn-ROSOWSKY-14698,27, 276, GREAT BRITAIN, Right, Foil , V/15
79,2019-1330,16,James-BROSNAN-28218,24, 381, IRELAND, Left, Foil ,Daniel-KISS-32825,20, 283, HUNGARY, Right, Foil , D/9
80,2019-1330,16,Daiki-FUJINO-12713,31, 131, JAPAN, Right, Foil ,Suguru-AWAJI-13412,29, 306, JAPAN, Left, Foil , V/15
81,2019-1330,16,Augusto_Antonio-SERVELLO-32232,19, 106, ARGENTINA, Left, Foil ,Martino-MINUTO-12216,30, 31, TURKEY, Right, Foil , D/10
82,2019-1330,8,Alexander-CHOUPENITCH-21765,24, 19, CZECH REPUBLIC, Right, Foil ,Lorenzo-NISTA-21729,25, 63, ITALY, Right, Foil , V/15
83,2019-1330,8,Stef-VAN_CAMPENHOUT-37860,20, 107, BELGIUM, Left, Foil ,Daniel-DOSA-29031,22, 53, HUNGARY, Left, Foil , V/15
84,2019-1330,8,Filippo-GUERRA-24155,25, 191, ITALY, Right, Foil ,Daniel-KISS-32825,20, 283, HUNGARY, Right, Foil , V/15
85,2019-1330,8,Daiki-FUJINO-12713,31, 131, JAPAN, Right, Foil ,Martino-MINUTO-12216,30, 31, TURKEY, Right, Foil , D/6
86,2019-1330,4,Alexander-CHOUPENITCH-21765,24, 19, CZECH REPUBLIC, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20, 107, BELGIUM, Left, Foil , V/15
87,2019-1330,4,Filippo-GUERRA-24155,25, 191, ITALY, Right, Foil ,Martino-MINUTO-12216,30, 31, TURKEY, Right, Foil , D/8
88,2019-1330,2,Alexander-CHOUPENITCH-21765,24, 19, CZECH REPUBLIC, Right, Foil ,Martino-MINUTO-12216,30, 31, TURKEY, Right, Foil , V/15
89,2019-393,32,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Julia-BELJAJEVA-20450,26, 28, ESTONIA, Right, Epée , V/8
