Category, Gender, Weapon, Competition, Place, Date, Type, Event
Tournoi Satellite,San-Jose,19.05.18,S,E,F,I,SA
Tournoi satellite,San-Jose,19.05.18,S,E,M,I,SA
Villa de Madrid,Madrid,18.05.18,S,S,M,I,A
Grand Prix,Shanghai,18.05.18,S,F,F,I,GP
Challenge SNCF Réseau,Paris,13.05.18,S,E,M,T,A
Tournoi Satellite,Bucarest,13.05.18,S,F,F,I,SA
Grand Prix,Moscow,12.05.18,S,S,F,I,GP
Tournoi Satelite,Bucarest,12.05.18,S,F,M,I,SA
Grand Prix,Moscow,11.05.18,S,S,M,I,GP
Challenge SNCF Réseau,Paris,11.05.18,S,E,M,I,A
Coupe du monde par équipes,Dubai,06.05.18,S,E,F,T,A
Coupe du Monde par équipes,St-Petersbourg,06.05.18,S,F,M,T,A
Fleuret de St-Petersbourg,St-Petersbourg,04.05.18,S,F,M,I,A
Coupe du Monde,Dubai,04.05.18,S,E,F,I,A
Coupe du Monde par équipes,Tauberbischofsheim,29.04.18,S,F,F,T,A
Tournoi satellite sabre masculin,Reykjavik,29.04.18,S,S,M,I,SA
Tournoi satellite,Reykjavik,28.04.18,S,S,F,I,SA
St Duje Cup,Split,28.04.18,S,E,M,I,SA
Tournoi Satellite,Split,28.04.18,S,E,F,I,SA
Reinhold-Würth-Cup,Tauberbischofsheim,27.04.18,S,F,F,I,A
Championnats du monde juniors-cadets,Verona,09.04.18,J,F,M,T,CHM
Championnats du monde juniors-cadets,Verona,09.04.18,J,F,F,T,CHM
Championnats du monde juniors-cadets,Verona,08.04.18,C,F,F,I,CHM
Championnats du monde juniors-cadets,Verona,08.04.18,C,F,M,I,CHM
Championnats du monde juniors-cadets,Verona,07.04.18,J,F,F,I,CHM
Championnats du monde juniors-cadets,Verona,07.04.18,J,F,M,I,CHM
Championnats du monde juniors-cadets,Verona,06.04.18,J,S,F,T,CHM
Championnats du monde juniors-cadets,Verona,06.04.18,J,S,M,T,CHM
Championnats du monde juniors-cadets,Verona,05.04.18,C,S,F,I,CHM
Championnats du monde juniors-cadets,Verona,05.04.18,C,S,M,I,CHM
Championnats du monde juniors-cadets,Verona,04.04.18,J,S,F,I,CHM
Championnats du monde juniors-cadets,Verona,04.04.18,J,S,M,I,CHM
Championnats du monde juniors-cadets,Verona,03.04.18,J,E,M,T,CHM
Championnats du monde juniors-cadets,Verona,03.04.18,J,E,F,T,CHM
Championnats du monde juniors-cadets,Verona,02.04.18,C,E,F,I,CHM
Championnats du monde juniors-cadets,Verona,02.04.18,C,E,M,I,CHM
Championnats du monde juniors-cadets,Verona,01.04.18,J,E,F,I,CHM
