ID, TABLEU, C1_ID, C1_AGE, C1_RANKING, C1_NATIONALITY,C1_HANDNESS, C1_WEAPON, C2_ID, C2_AGE, C2_RANKING, C2_NATIONALITY,C2_HANDNESS, C2_WEAPON, RESULT_C1, RESULT_C2
2015-738, 32,Francesca-BOSCARELLI-4388,36, 92, ITALY, Right, Epée ,Kinka-BARVESTAD-6174,32, None, SWEDEN, Right, Epée , D/9,  V/15
2015-738, 32,Olena-KRYVYTSKA-13707,31, 5, UKRAINE, Right, Epée ,Mara-NAVARRIA-9248,33, 1, ITALY, Right, Epée , V/13,  D/11
2015-738, 32,Renata-KNAPIK_MIAZGA-13503,30, 32, POLAND, Left, Epée ,Auriane-MALLO-25031,25, 26, FRANCE, Left, Epée , V/15,  D/14
2015-738, 32,Britta-HEIDEMANN-3593,36, None, GERMANY, Right, Epée ,Emese-SZASZ-4220,36, 3, HUNGARY, Left, Epée , D/8,  V/15
2015-738, 32,Tiffany-GEROUDET-7767,32, None, SWITZERLAND, Left, Epée ,Erika-KIRPU-19820,26, 31, ESTONIA, Right, Epée , V/15,  D/7
2015-738, 32,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Polina-MELENTIEV-22283,24, None, ISRAEL, Right, Epée , V/15,  D/10
2015-738, 16,Rossella-FIAMINGO-19604,27, 24, ITALY, Left, Epée ,Coraline-VITALIS-28593,23, 10, FRANCE, Right, Epée , V/15,  D/5
2015-738, 16,Julia-BELJAJEVA-20450,26, 28, ESTONIA, Right, Epée ,Marie_Florence-CANDASSAMY-20179,27, 30, FRANCE, Right, Epée , D/11,  V/15
2015-738, 16,Simona-POP-9855,30, None, ROMANIA, Left, Epée ,Emma-SAMUELSSON-9708,30, None, SWEDEN, Left, Epée , V/15,  D/14
2015-738, 16,Irina-EMBRICH-9370,38, 68, ESTONIA, Left, Epée ,Tatiana-LOGUNOVA-5808,38, None, RUSSIA, Right, Epée , D/11,  V/15
2015-738, 16,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée ,Kinka-BARVESTAD-6174,32, None, SWEDEN, Right, Epée , V/15,  D/7
2015-738, 16,Olena-KRYVYTSKA-13707,31, 5, UKRAINE, Right, Epée ,Renata-KNAPIK_MIAZGA-13503,30, 32, POLAND, Left, Epée , V/15,  D/11
2015-738, 16,Emese-SZASZ-4220,36, 3, HUNGARY, Left, Epée ,Tiffany-GEROUDET-7767,32, None, SWITZERLAND, Left, Epée , V/15,  D/14
2015-738, 8,Rossella-FIAMINGO-19604,27, 24, ITALY, Left, Epée ,Marie_Florence-CANDASSAMY-20179,27, 30, FRANCE, Right, Epée , V/13,  D/12
2015-738, 8,Simona-POP-9855,30, None, ROMANIA, Left, Epée ,Tatiana-LOGUNOVA-5808,38, None, RUSSIA, Right, Epée , V/15,  D/11
2015-738, 8,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée ,Olena-KRYVYTSKA-13707,31, 5, UKRAINE, Right, Epée , V/13,  D/10
2015-738, 4,Rossella-FIAMINGO-19604,27, 24, ITALY, Left, Epée ,Simona-POP-9855,30, None, ROMANIA, Left, Epée , V/15,  D/9
2015-738, 4,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée ,Emese-SZASZ-4220,36, 3, HUNGARY, Left, Epée , V/15,  D/10
2015-738, 2,Rossella-FIAMINGO-19604,27, 24, ITALY, Left, Epée ,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée , D/12,  V/15
